Class,same,uchangedLines,deleted,added,changed,all, differenceSection
 apache\xalan\xsltc\compiler\XPathParser.java,2975,55,24,78,35,172,46
 apache\xalan\xsltc\compiler\XslAttribute.java,250,4,1,8,2,13,3
 apache\xalan\xsltc\compiler\XslElement.java,304,18,31,7,13,64,12
 apache\xalan\xsltc\compiler\XSLTC.java,740,31,5,43,27,102,33
 apache\xalan\xsltc\dom\AbsoluteIterator.java,99,23,11,9,9,38,17
 apache\xalan\xsltc\dom\AdaptiveResultTreeImpl.java,0,264,0,1086,0,1086,143
 apache\xalan\xsltc\dom\AnyNodeCounter.java,118,15,0,7,10,27,11
 apache\xalan\xsltc\dom\Axis.java,86,3,31,0,2,35,1
 apache\xalan\xsltc\dom\BitArray.java,260,30,2,14,2,20,7
 apache\xalan\xsltc\dom\CollatorFactoryBase.java,0,69,0,19,0,19,8
 apache\xalan\xsltc\dom\CurrentNodeListFilter.java,69,2,1,1,1,4,3
 apache\xalan\xsltc\dom\CurrentNodeListIterator.java,163,45,5,11,22,60,21
 apache\xalan\xsltc\dom\DocumentCache.java,327,13,15,11,14,54,25
 apache\xalan\xsltc\dom\DOMAdapter.java,160,50,20,155,103,381,74
 apache\xalan\xsltc\dom\DOMBuilder.java,63,2,2,0,0,2,1
 apache\xalan\xsltc\dom\DOMImpl.java,0,1182,2562,0,0,2562,558
 apache\xalan\xsltc\dom\DOMWSFilter.java,0,107,0,58,0,58,15
 apache\xalan\xsltc\dom\DTDMonitor.java,0,166,102,0,0,102,36
 apache\xalan\xsltc\dom\DupFilterIterator.java,95,60,17,23,37,114,30
 apache\xalan\xsltc\dom\ExtendedSAX.java,65,2,0,3,2,7,2
 apache\xalan\xsltc\dom\FilteredStepIterator.java,80,8,16,1,6,29,6
 apache\xalan\xsltc\dom\FilterIterator.java,121,24,2,5,8,23,12
 apache\xalan\xsltc\dom\ForwardPositionIterator.java,0,78,0,41,0,41,11
 apache\xalan\xsltc\dom\KeyIndex.java,171,58,16,44,61,182,44
 apache\xalan\xsltc\dom\LoadDocument.java,174,54,13,23,26,88,32
 apache\xalan\xsltc\dom\MatchingIterator.java,114,33,2,4,17,40,14
 apache\xalan\xsltc\dom\MultiDOM.java,208,188,18,195,98,409,108
 apache\xalan\xsltc\dom\MultipleNodeCounter.java,135,2,1,1,5,12,7
 apache\xalan\xsltc\dom\NodeCounter.java,351,12,0,5,6,17,7
 apache\xalan\xsltc\dom\NodeIteratorBase.java,138,69,0,1,1,3,2
 apache\xalan\xsltc\dom\NodeSortRecord.java,224,15,0,25,5,35,10
 apache\xalan\xsltc\dom\NodeSortRecordFactory.java,148,2,1,0,3,7,3
 apache\xalan\xsltc\dom\NthIterator.java,109,20,14,16,11,52,15
 apache\xalan\xsltc\dom\ReverseIterator.java,0,75,53,0,0,53,14
 apache\xalan\xsltc\dom\SAXImpl.java,0,583,0,982,0,982,189
 apache\xalan\xsltc\dom\SimpleResultTreeImpl.java,0,320,0,724,0,724,175
