relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc
ui\SettingsTabEnvironment.java,org.argouml.ui.SettingsTabEnvironment,128,115,4,17,3,27
ui\SettingsTabLayout.java,org.argouml.ui.SettingsTabLayout,101,51,0,50,0,50
ui\SettingsTabPreferences.java,org.argouml.ui.SettingsTabPreferences,82,58,0,24,0,24
ui\SettingsTabUser.java,org.argouml.ui.SettingsTabUser,57,72,15,0,6,27
ui\ShadowComboBox.java,org.argouml.ui.ShadowComboBox,86,86,0,0,0,0
ui\SplashPanel.java,org.argouml.ui.SplashPanel,23,23,0,0,1,2
ui\SplashScreen.java,org.argouml.ui.SplashScreen,46,51,5,0,3,11
ui\StatusBar.java,org.argouml.ui.StatusBar,53,53,0,0,4,8
ui\StylePanel.java,org.argouml.ui.StylePanel,78,78,0,0,3,6
ui\StylePanelFig.java,org.argouml.ui.StylePanelFig,301,365,64,0,7,78
ui\StylePanelFigNodeModelElement.java,org.argouml.ui.StylePanelFigNodeModelElement,44,67,23,0,3,29
ui\StylePanelFigRRect.java,org.argouml.ui.StylePanelFigRRect,32,32,0,0,0,0
ui\StylePanelFigText.java,org.argouml.ui.StylePanelFigText,181,200,19,0,25,69
ui\SystemInfoDialog.java,org.argouml.ui.SystemInfoDialog,88,93,5,0,18,41
ui\TabResults.java,org.argouml.ui.TabResults,205,205,0,0,35,70
ui\TabText.java,org.argouml.ui.TabText,115,122,7,0,2,11
